 * Serving Flask app "server.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://130.113.68.111:8000/ (Press CTRL+C to quit)
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=1 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=2 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=3 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=4 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=5 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=6 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=7 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=8 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=9 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=10 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=11 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=12 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=13 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=14 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=15 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=16 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=17 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=18 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=19 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:36] "GET /sendData?numData=1&type1=EC&id1=02&value1=20 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:37] "GET /sendData?numData=1&type1=EC&id1=02&value1=21 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:37] "GET /sendData?numData=1&type1=EC&id1=02&value1=22 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:37] "GET /sendData?numData=1&type1=EC&id1=02&value1=23 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:37] "GET /sendData?numData=1&type1=EC&id1=02&value1=24 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:37] "GET /sendData?numData=1&type1=EC&id1=02&value1=25 HTTP/1.1" 200 -
